7,2345
26,2345
86,2345
63,3210
17,3210
50,3456
4,3456
78,3456
58,4321
29,4321
91,4321
10,4567
71,4567
42,4567
34,5432
68,5432
45,5432
14,5432
95,5432
53,5678
81,5678
23,5678
76,6543
56,6543
32,6543
20,6543
98,6543
48,6789
1,6789
12,6789
65,6789
89,6789
39,6789
73,7654
36,7654
52,7654
6,7654
93,7654
16,7890
84,7890
61,7890
25,7891
44,8765
80,8765
31,8765
22,8765
38,8901
88,8901
3,8901
55,8901
67,8901
97,8901
47,9012
70,9012
83,9012
9,9012
28,9087
41,9876
60,9876
19,9876
100,9876
74,10293
35,10293
94,10293
13,11223
79,11223
54,11234
30,12345
2,12345
87,12345
46,12345
66,12345
40,13245
92,13456
72,13456
59,13456
24,13456
18,14567
49,14567
82,14567
75,15432
37,15432
99,15432
8,15678
62,15678
57,16789
85,16789
27,16789
43,17654
96,17654
69,17890
21,17890
11,18234
77,18234
51,18901
64,19012
33,19012
90,19876
5,19876
15,20000
